排名,股票代號,股票名稱,概念股,公司業務,入選理由,月營收年增率,月營收月增率,EPS 是否轉虧為盈,毛利率是否改善,法人是否上修目標價,股價是否仍在低位階,成交量是否溫和放大,觀察評等,風險說明,強度分數,收盤價,當天成交量(張),市場,年月,觀察節奏,風險標籤
11,6177,達麗,營建;資產;都更,建設開發、營造工程、資產開發或不動產相關公司。,營收年增 149.2%，月增 -18.3%，符合低基期轉強預篩,+149.18%,-18.25%,是,否,否,是,是,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,65.0,46.9,2948,上市,2026-05,研究觀察,月增轉弱
12,6472,保瑞,生技醫療;醫材;新藥,醫療器材、藥品、生技服務或醫療通路相關公司。,營收年增 40.2%，月增 42.5%，符合低基期轉強預篩,+40.19%,+42.46%,否,是,否,是,是,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,62.8,405.5,1890,上市,2026-05,研究觀察,一般觀察
13,2337,旺宏,記憶體;低基期;AI邊緣需求,旺宏主要做 NOR Flash、NAND Flash 與唯讀記憶體。,低基期後營收轉強，若價格與報價循環續揚，具重新估值空間,+175.80%,+5.80%,是,是,否,否,是,B,記憶體價格循環反轉、庫存調整、匯率與終端需求不如預期,61.7,166.5,113645,上市,2026-05,研究觀察,爆量股
14,4934,太極,光電;面板;光通訊/CPO,面板、LED、光學元件、光通訊或顯示相關公司。,營收年增 281.1%，月增 36.9%，符合低基期轉強預篩,+281.10%,+36.94%,是,是,否,否,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,61.1,17.3,1006,上市,2026-05,研究觀察,一般觀察
15,2820,華票,金融;壽險;銀行,金融保險相關公司，需再追蹤產品組合與主要客戶。,營收年增 89.4%，月增 11.4%，符合低基期轉強預篩,+89.40%,+11.36%,是,是,否,否,是,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,60.8,17.85,2845,上市,2026-05,研究觀察,一般觀察
16,3022,威強電,AI伺服器;PC/NB;邊緣運算,PC、筆電、伺服器、AI伺服器或週邊設備相關公司。,營收年增 92.4%，月增 39.3%，符合低基期轉強預篩,+92.40%,+39.29%,是,是,否,否,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,59.9,82.6,1233,上市,2026-05,研究觀察,觀察順位較後
17,4967,十銓,半導體;AI供應鏈;先進製程,半導體設計、製造、封測、材料或設備相關公司。,營收年增 112.6%，月增 26.8%，符合低基期轉強預篩,+112.59%,+26.84%,是,是,否,否,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,58.1,275.0,3284,上市,2026-05,研究觀察,觀察順位較後
18,2885,元大金,金融;壽險;銀行,金融保險相關公司，需再追蹤產品組合與主要客戶。,營收年增 928.4%，月增 23.2%，符合低基期轉強預篩,+928.42%,+23.23%,是,是,否,否,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,57.0,65.4,27510,上市,2026-05,研究觀察,觀察順位較後
19,6901,鑽石投資,其他,其他相關公司，需再追蹤產品組合與主要客戶。,營收年增 407.5%，月增 22.3%，符合低基期轉強預篩,+407.46%,+22.34%,是,是,否,否,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,56.7,15.55,2656,上市,2026-05,研究觀察,觀察順位較後
20,6589,台康生技,生技醫療;醫材;新藥,醫療器材、藥品、生技服務或醫療通路相關公司。,營收年增 56.3%，月增 42.1%，符合低基期轉強預篩,+56.35%,+42.08%,否,是,否,是,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,56.7,45.0,1247,上市,2026-05,研究觀察,觀察順位較後
21,1316,上曜,營建;資產;都更,建設開發、營造工程、資產開發或不動產相關公司。,營收年增 153.0%，月增 5.3%，符合低基期轉強預篩,+152.96%,+5.33%,是,否,否,是,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,56.6,10.85,1625,上市,2026-05,研究觀察,觀察順位較後
22,6446,藥華藥,生技醫療;醫材;新藥,醫療器材、藥品、生技服務或醫療通路相關公司。,營收年增 108.5%，月增 19.1%，符合低基期轉強預篩,+108.47%,+19.10%,是,是,否,否,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,55.7,991.0,2480,上市,2026-05,研究觀察,觀察順位較後
23,2347,聯強,電子通路;半導體通路,電子通路相關公司，需再追蹤產品組合與主要客戶。,營收年增 129.3%，月增 18.3%，符合低基期轉強預篩,+129.27%,+18.28%,是,是,否,否,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,55.5,93.0,4860,上市,2026-05,研究觀察,觀察順位較後
24,6550,北極星藥業-KY,生技醫療;醫材;新藥,醫療器材、藥品、生技服務或醫療通路相關公司。,營收年增 248.7%，月增 -4.0%，符合低基期轉強預篩,+248.65%,-4.02%,是,否,否,是,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,55.0,13.2,1160,上市,2026-05,研究觀察,月增轉弱、觀察順位較後
25,1795,美時,生技醫療;醫材;新藥,醫療器材、藥品、生技服務或醫療通路相關公司。,營收年增 105.8%，月增 -24.7%，符合低基期轉強預篩,+105.79%,-24.68%,是,否,否,是,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,55.0,191.0,1401,上市,2026-05,研究觀察,月增轉弱、觀察順位較後
26,4739,康普,化工材料;特用化學,化學工業相關公司，需再追蹤產品組合與主要客戶。,營收年增 141.0%，月增 12.9%，符合低基期轉強預篩,+140.95%,+12.92%,是,是,否,否,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,53.9,116.0,5424,上市,2026-05,研究觀察,觀察順位較後
27,2383,台光電,PCB;被動元件;電子零組件,PCB、被動元件、連接器、機構件或其他電子零組件公司。,營收年增 114.6%，月增 12.2%，符合低基期轉強預篩,+114.63%,+12.17%,是,是,否,否,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,53.7,5120.0,2438,上市,2026-05,研究觀察,觀察順位較後
28,2368,金像電,PCB;AI伺服器;高階板材,金像電主要做伺服器與網通用 PCB。,營收年增 87.3%，月增 20.4%，符合低基期轉強預篩,+87.30%,+20.35%,是,是,否,否,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,52.9,1345.0,3251,上市,2026-05,研究觀察,觀察順位較後
29,3443,創意,半導體;AI供應鏈;先進製程,半導體設計、製造、封測、材料或設備相關公司。,營收年增 132.1%，月增 8.8%，符合低基期轉強預篩,+132.13%,+8.85%,是,否,否,否,是,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,52.7,4920.0,3263,上市,2026-05,研究觀察,觀察順位較後
30,8021,尖點,AI伺服器供應鏈;設備;電子製造服務,電子製造服務、設備、材料或AI伺服器供應鏈公司。,營收年增 86.3%，月增 18.2%，符合低基期轉強預篩,+86.29%,+18.19%,是,是,否,否,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,52.0,518.0,2421,上市,2026-05,研究觀察,觀察順位較後
