排名,股票代號,股票名稱,概念股,公司業務,入選理由,月營收年增率,月營收月增率,EPS 是否轉虧為盈,毛利率是否改善,法人是否上修目標價,股價是否仍在低位階,成交量是否溫和放大,雷達等級,風險說明,雷達強度,收盤價,當天成交量(張),市場,年月,單月營收_千元,月營收金額,去年同月營收,月資料,revenue_month,market_date,日資料,資料版本,追蹤狀態,風險標籤
16,3535,晶彩科,光電;面板;光通訊/CPO,面板、LED、光學元件、光通訊或顯示相關公司。,營收年增 2229.0%，月增 458.5%，符合低基期轉強預篩,+2229.03%,+458.51%,是,是,否,否,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,65.0,128.5,3687,上市,2026-05,110652,1.11億元,475萬元,2026-05 月營收,2026-05,2026-06-22,2026-06-22 收盤價/成交量,營收 2026-05｜行情 2026-06-22,研究觀察,一般觀察
17,8112,至上,電子通路;半導體通路,電子通路相關公司，需再追蹤產品組合與主要客戶。,營收年增 253.2%，月增 53.8%，符合低基期轉強預篩,+253.18%,+53.79%,是,是,否,否,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,65.0,100.5,38165,上市,2026-05,53921149,539.21億元,152.67億元,2026-05 月營收,2026-05,2026-06-22,2026-06-22 收盤價/成交量,營收 2026-05｜行情 2026-06-22,研究觀察,一般觀察
18,6442,光聖,網通;光通訊;CPO,網通設備、通訊模組、光通訊或電信設備相關公司。,營收年增 116.0%，月增 94.7%，符合低基期轉強預篩,+116.02%,+94.67%,是,是,否,否,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,65.0,2085.0,1551,上市,2026-05,1725672,17.26億元,7.99億元,2026-05 月營收,2026-05,2026-06-22,2026-06-22 收盤價/成交量,營收 2026-05｜行情 2026-06-22,研究觀察,一般觀察
19,2337,旺宏,記憶體;低基期;AI邊緣需求,旺宏主要做 NOR Flash、NAND Flash 與唯讀記憶體。,低基期後營收轉強，若價格與報價循環續揚，具重新估值空間,+175.80%,+5.80%,是,是,否,否,是,B,記憶體價格循環反轉、庫存調整、匯率與終端需求不如預期,61.7,185.5,135987,上市,2026-05,6255653,62.56億元,22.68億元,2026-05 月營收,2026-05,2026-06-22,2026-06-22 收盤價/成交量,營收 2026-05｜行情 2026-06-22,研究觀察,爆量股
20,4934,太極,光電;面板;光通訊/CPO,面板、LED、光學元件、光通訊或顯示相關公司。,營收年增 281.1%，月增 36.9%，符合低基期轉強預篩,+281.10%,+36.94%,是,是,否,否,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,61.1,17.4,1361,上市,2026-05,19764,"1,976萬元",519萬元,2026-05 月營收,2026-05,2026-06-22,2026-06-22 收盤價/成交量,營收 2026-05｜行情 2026-06-22,研究觀察,一般觀察
21,2820,華票,金融;壽險;銀行,金融保險相關公司，需再追蹤產品組合與主要客戶。,營收年增 89.4%，月增 11.4%，符合低基期轉強預篩,+89.40%,+11.36%,是,是,否,否,是,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,60.8,17.75,2899,上市,2026-05,417554,4.18億元,2.20億元,2026-05 月營收,2026-05,2026-06-22,2026-06-22 收盤價/成交量,營收 2026-05｜行情 2026-06-22,研究觀察,一般觀察
22,1444,力麗,04,04相關公司，需再追蹤產品組合與主要客戶。,營收年增 81.0%，月增 72.0%，符合低基期轉強預篩,+81.02%,+72.05%,是,是,否,否,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,60.3,7.01,2001,上市,2026-05,1072308,10.72億元,5.92億元,2026-05 月營收,2026-05,2026-06-22,2026-06-22 收盤價/成交量,營收 2026-05｜行情 2026-06-22,研究觀察,一般觀察
23,3022,威強電,AI伺服器;PC/NB;邊緣運算,PC、筆電、伺服器、AI伺服器或週邊設備相關公司。,營收年增 92.4%，月增 39.3%，符合低基期轉強預篩,+92.40%,+39.29%,是,是,否,否,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,59.9,83.2,1020,上市,2026-05,888586,8.89億元,4.62億元,2026-05 月營收,2026-05,2026-06-22,2026-06-22 收盤價/成交量,營收 2026-05｜行情 2026-06-22,研究觀察,觀察順位較後
24,4967,十銓,半導體;AI供應鏈;先進製程,半導體設計、製造、封測、材料或設備相關公司。,營收年增 112.6%，月增 26.8%，符合低基期轉強預篩,+112.59%,+26.84%,是,是,否,否,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,58.1,284.5,8217,上市,2026-05,2555598,25.56億元,12.02億元,2026-05 月營收,2026-05,2026-06-22,2026-06-22 收盤價/成交量,營收 2026-05｜行情 2026-06-22,研究觀察,觀察順位較後
25,2885,元大金,金融;壽險;銀行,金融保險相關公司，需再追蹤產品組合與主要客戶。,營收年增 928.4%，月增 23.2%，符合低基期轉強預篩,+928.42%,+23.23%,是,是,否,否,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,57.0,68.8,37402,上市,2026-05,21261028,212.61億元,20.67億元,2026-05 月營收,2026-05,2026-06-22,2026-06-22 收盤價/成交量,營收 2026-05｜行情 2026-06-22,研究觀察,觀察順位較後
26,6589,台康生技,生技醫療;醫材;新藥,醫療器材、藥品、生技服務或醫療通路相關公司。,營收年增 56.3%，月增 42.1%，符合低基期轉強預篩,+56.35%,+42.08%,否,是,否,是,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,56.7,46.25,1173,上市,2026-05,116798,1.17億元,"7,470萬元",2026-05 月營收,2026-05,2026-06-22,2026-06-22 收盤價/成交量,營收 2026-05｜行情 2026-06-22,研究觀察,觀察順位較後
27,1316,上曜,營建;資產;都更,建設開發、營造工程、資產開發或不動產相關公司。,營收年增 153.0%，月增 5.3%，符合低基期轉強預篩,+152.96%,+5.33%,是,否,否,是,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,56.6,10.5,3887,上市,2026-05,720420,7.20億元,2.85億元,2026-05 月營收,2026-05,2026-06-22,2026-06-22 收盤價/成交量,營收 2026-05｜行情 2026-06-22,研究觀察,觀察順位較後
28,2101,南港,輪胎;橡膠材料,橡膠工業相關公司，需再追蹤產品組合與主要客戶。,營收年增 158.7%，月增 4.5%，符合低基期轉強預篩,+158.75%,+4.50%,是,否,否,是,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,56.4,32.05,2200,上市,2026-05,2151553,21.52億元,8.32億元,2026-05 月營收,2026-05,2026-06-22,2026-06-22 收盤價/成交量,營收 2026-05｜行情 2026-06-22,研究觀察,觀察順位較後
29,6446,藥華藥,生技醫療;醫材;新藥,醫療器材、藥品、生技服務或醫療通路相關公司。,營收年增 108.5%，月增 19.1%，符合低基期轉強預篩,+108.47%,+19.10%,是,是,否,否,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,55.7,1095.0,2685,上市,2026-05,2458451,24.58億元,11.79億元,2026-05 月營收,2026-05,2026-06-22,2026-06-22 收盤價/成交量,營收 2026-05｜行情 2026-06-22,研究觀察,觀察順位較後
30,2347,聯強,電子通路;半導體通路,電子通路相關公司，需再追蹤產品組合與主要客戶。,營收年增 129.3%，月增 18.3%，符合低基期轉強預篩,+129.27%,+18.28%,是,是,否,否,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,55.5,93.5,4759,上市,2026-05,67818918,678.19億元,295.80億元,2026-05 月營收,2026-05,2026-06-22,2026-06-22 收盤價/成交量,營收 2026-05｜行情 2026-06-22,研究觀察,觀察順位較後
