排名,股票代號,股票名稱,概念股,公司業務,入選理由,月營收年增率,月營收月增率,EPS 是否轉虧為盈,毛利率是否改善,法人是否上修目標價,股價是否仍在低位階,成交量是否溫和放大,雷達等級,風險說明,雷達強度,收盤價,當天成交量(張),price_source,price_source_status,market_date,official_rank_eligible,市場,年月,單月營收_千元,月營收金額,去年同月營收,月資料,revenue_month,日資料,資料版本,追蹤狀態,風險標籤
15,6541,泰福-KY,生技醫療;醫材;新藥,醫療器材、藥品、生技服務或醫療通路相關公司。,營收年增 208.2%，月增 -58.4%，符合低基期轉強預篩,+208.20%,-58.43%,是,否,否,是,是,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,65.0,38.55,1084,yfinance,verified,2026-06-26,True,上市,2026-05,36078,"3,608萬元","1,171萬元",2026-05 月營收,2026-05,2026-06-26 收盤價/成交量,營收 2026-05｜行情 2026-06-26,研究觀察,月增轉弱
16,2537,聯上發,營建;資產;都更,建設開發、營造工程、資產開發或不動產相關公司。,營收年增 128.5%，月增 145.9%，符合低基期轉強預篩,+128.49%,+145.91%,是,是,否,否,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,65.0,10.85,1580,yfinance,verified,2026-06-26,True,上市,2026-05,71212,"7,121萬元","3,117萬元",2026-05 月營收,2026-05,2026-06-26 收盤價/成交量,營收 2026-05｜行情 2026-06-26,研究觀察,一般觀察
17,1795,美時,生技醫療;醫材;新藥,醫療器材、藥品、生技服務或醫療通路相關公司。,營收年增 105.8%，月增 -24.7%，符合低基期轉強預篩,+105.79%,-24.68%,是,否,否,是,是,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,65.0,183.0,2383,yfinance,verified,2026-06-26,True,上市,2026-05,2324237,23.24億元,11.29億元,2026-05 月營收,2026-05,2026-06-26 收盤價/成交量,營收 2026-05｜行情 2026-06-26,研究觀察,月增轉弱
18,3041,揚智,半導體;AI供應鏈;先進製程,半導體設計、製造、封測、材料或設備相關公司。,營收年增 97.9%，月增 45.3%，符合低基期轉強預篩,+97.94%,+45.28%,是,是,否,否,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,63.1,27.3,2824,yfinance,verified,2026-06-26,True,上市,2026-05,173813,1.74億元,"8,781萬元",2026-05 月營收,2026-05,2026-06-26 收盤價/成交量,營收 2026-05｜行情 2026-06-26,研究觀察,一般觀察
19,2337,旺宏,記憶體;低基期;AI邊緣需求,旺宏主要做 NOR Flash、NAND Flash 與唯讀記憶體。,低基期後營收轉強，若價格與報價循環續揚，具重新估值空間,+175.80%,+5.80%,是,是,否,否,是,B,記憶體價格循環反轉、庫存調整、匯率與終端需求不如預期,61.7,162.5,189108,yfinance,verified,2026-06-26,True,上市,2026-05,6255653,62.56億元,22.68億元,2026-05 月營收,2026-05,2026-06-26 收盤價/成交量,營收 2026-05｜行情 2026-06-26,研究觀察,爆量股
20,2359,所羅門,AI伺服器供應鏈;設備;電子製造服務,電子製造服務、設備、材料或AI伺服器供應鏈公司。,營收年增 66.8%，月增 47.2%，符合低基期轉強預篩,+66.80%,+47.20%,否,是,否,是,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,60.9,126.5,1898,yfinance,verified,2026-06-26,True,上市,2026-05,525755,5.26億元,3.15億元,2026-05 月營收,2026-05,2026-06-26 收盤價/成交量,營收 2026-05｜行情 2026-06-26,研究觀察,一般觀察
21,2820,華票,金融;壽險;銀行,金融保險相關公司，需再追蹤產品組合與主要客戶。,營收年增 89.4%，月增 11.4%，符合低基期轉強預篩,+89.40%,+11.36%,是,是,否,否,是,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,60.8,17.8,3373,yfinance,verified,2026-06-26,True,上市,2026-05,417554,4.18億元,2.20億元,2026-05 月營收,2026-05,2026-06-26 收盤價/成交量,營收 2026-05｜行情 2026-06-26,研究觀察,一般觀察
22,4967,十銓,半導體;AI供應鏈;先進製程,半導體設計、製造、封測、材料或設備相關公司。,營收年增 112.6%，月增 26.8%，符合低基期轉強預篩,+112.59%,+26.84%,是,是,否,否,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,58.1,265.0,4075,yfinance,verified,2026-06-26,True,上市,2026-05,2555598,25.56億元,12.02億元,2026-05 月營收,2026-05,2026-06-26 收盤價/成交量,營收 2026-05｜行情 2026-06-26,研究觀察,觀察順位較後
23,2885,元大金,金融;壽險;銀行,金融保險相關公司，需再追蹤產品組合與主要客戶。,營收年增 928.4%，月增 23.2%，符合低基期轉強預篩,+928.42%,+23.23%,是,是,否,否,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,57.0,66.3,29578,yfinance,verified,2026-06-26,True,上市,2026-05,21261028,212.61億元,20.67億元,2026-05 月營收,2026-05,2026-06-26 收盤價/成交量,營收 2026-05｜行情 2026-06-26,研究觀察,觀察順位較後
24,6901,鑽石投資,其他,其他相關公司，需再追蹤產品組合與主要客戶。,營收年增 407.5%，月增 22.3%，符合低基期轉強預篩,+407.46%,+22.34%,是,是,否,否,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,56.7,18.3,16580,yfinance,verified,2026-06-26,True,上市,2026-05,692717,6.93億元,1.37億元,2026-05 月營收,2026-05,2026-06-26 收盤價/成交量,營收 2026-05｜行情 2026-06-26,研究觀察,觀察順位較後
25,1316,上曜,營建;資產;都更,建設開發、營造工程、資產開發或不動產相關公司。,營收年增 153.0%，月增 5.3%，符合低基期轉強預篩,+152.96%,+5.33%,是,否,否,是,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,56.6,10.1,1607,yfinance,verified,2026-06-26,True,上市,2026-05,720420,7.20億元,2.85億元,2026-05 月營收,2026-05,2026-06-26 收盤價/成交量,營收 2026-05｜行情 2026-06-26,研究觀察,觀察順位較後
26,2101,南港,輪胎;橡膠材料,橡膠工業相關公司，需再追蹤產品組合與主要客戶。,營收年增 158.7%，月增 4.5%，符合低基期轉強預篩,+158.75%,+4.50%,是,否,否,是,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,56.4,31.15,1146,yfinance,verified,2026-06-26,True,上市,2026-05,2151553,21.52億元,8.32億元,2026-05 月營收,2026-05,2026-06-26 收盤價/成交量,營收 2026-05｜行情 2026-06-26,研究觀察,觀察順位較後
27,6446,藥華藥,生技醫療;醫材;新藥,醫療器材、藥品、生技服務或醫療通路相關公司。,營收年增 108.5%，月增 19.1%，符合低基期轉強預篩,+108.47%,+19.10%,是,是,否,否,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,55.7,1155.0,2674,yfinance,verified,2026-06-26,True,上市,2026-05,2458451,24.58億元,11.79億元,2026-05 月營收,2026-05,2026-06-26 收盤價/成交量,營收 2026-05｜行情 2026-06-26,研究觀察,觀察順位較後
28,2347,聯強,電子通路;半導體通路,電子通路相關公司，需再追蹤產品組合與主要客戶。,營收年增 129.3%，月增 18.3%，符合低基期轉強預篩,+129.27%,+18.28%,是,是,否,否,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,55.5,92.8,7491,yfinance,verified,2026-06-26,True,上市,2026-05,67818918,678.19億元,295.80億元,2026-05 月營收,2026-05,2026-06-26 收盤價/成交量,營收 2026-05｜行情 2026-06-26,研究觀察,觀察順位較後
29,2548,華固,營建;資產;都更,建設開發、營造工程、資產開發或不動產相關公司。,營收年增 9203.6%，月增 -67.1%，符合低基期轉強預篩,+9203.56%,-67.05%,是,否,否,是,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,55.0,102.5,1832,yfinance,verified,2026-06-26,True,上市,2026-05,316321,3.16億元,340萬元,2026-05 月營收,2026-05,2026-06-26 收盤價/成交量,營收 2026-05｜行情 2026-06-26,研究觀察,月增轉弱、低基期需確認、觀察順位較後
30,6550,北極星藥業-KY,生技醫療;醫材;新藥,醫療器材、藥品、生技服務或醫療通路相關公司。,營收年增 248.7%，月增 -4.0%，符合低基期轉強預篩,+248.65%,-4.02%,是,否,否,是,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,55.0,12.5,2157,yfinance,verified,2026-06-26,True,上市,2026-05,1601,160萬元,46萬元,2026-05 月營收,2026-05,2026-06-26 收盤價/成交量,營收 2026-05｜行情 2026-06-26,研究觀察,月增轉弱、觀察順位較後
