排名,股票代號,股票名稱,概念股,公司業務,入選理由,月營收年增率,月營收月增率,EPS 是否轉虧為盈,毛利率是否改善,法人是否上修目標價,股價是否仍在低位階,成交量是否溫和放大,雷達等級,風險說明,雷達強度,收盤價,當天成交量(張),市場,年月,月資料,日資料,追蹤狀態,風險標籤,revenue_month,market_date,資料版本
15,1316,上曜,營建;資產;都更,建設開發、營造工程、資產開發或不動產相關公司。,營收年增 153.0%，月增 5.3%，符合低基期轉強預篩,-,-,是,否,否,是,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,56.6,10.95,1836,上市,2026-05,2026-05 月營收,2026-06-18 收盤價/成交量,研究觀察,觀察順位較後,2026-05,2026-06-18,營收 2026-05｜行情 2026-06-18
16,2101,南港,輪胎;橡膠材料,橡膠工業相關公司，需再追蹤產品組合與主要客戶。,營收年增 158.7%，月增 4.5%，符合低基期轉強預篩,-,-,是,否,否,是,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,56.4,32.75,1429,上市,2026-05,2026-05 月營收,2026-06-18 收盤價/成交量,研究觀察,觀察順位較後,2026-05,2026-06-18,營收 2026-05｜行情 2026-06-18
17,6446,藥華藥,生技醫療;醫材;新藥,醫療器材、藥品、生技服務或醫療通路相關公司。,營收年增 108.5%，月增 19.1%，符合低基期轉強預篩,-,-,是,是,否,否,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,55.7,1060.0,2014,上市,2026-05,2026-05 月營收,2026-06-18 收盤價/成交量,研究觀察,觀察順位較後,2026-05,2026-06-18,營收 2026-05｜行情 2026-06-18
18,2347,聯強,電子通路;半導體通路,電子通路相關公司，需再追蹤產品組合與主要客戶。,營收年增 129.3%，月增 18.3%，符合低基期轉強預篩,-,-,是,是,否,否,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,55.5,94.1,4029,上市,2026-05,2026-05 月營收,2026-06-18 收盤價/成交量,研究觀察,觀察順位較後,2026-05,2026-06-18,營收 2026-05｜行情 2026-06-18
19,2548,華固,營建;資產;都更,建設開發、營造工程、資產開發或不動產相關公司。,營收年增 9203.6%，月增 -67.1%，符合低基期轉強預篩,-,-,是,否,否,是,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,55.0,103.5,2543,上市,2026-05,2026-05 月營收,2026-06-18 收盤價/成交量,研究觀察,觀察順位較後,2026-05,2026-06-18,營收 2026-05｜行情 2026-06-18
20,4739,康普,化工材料;特用化學,化學工業相關公司，需再追蹤產品組合與主要客戶。,營收年增 141.0%，月增 12.9%，符合低基期轉強預篩,-,-,是,是,否,否,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,53.9,123.0,2223,上市,2026-05,2026-05 月營收,2026-06-18 收盤價/成交量,研究觀察,觀察順位較後,2026-05,2026-06-18,營收 2026-05｜行情 2026-06-18
21,2383,台光電,PCB;被動元件;電子零組件,PCB、被動元件、連接器、機構件或其他電子零組件公司。,營收年增 114.6%，月增 12.2%，符合低基期轉強預篩,-,-,是,是,否,否,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,53.7,5470.0,1071,上市,2026-05,2026-05 月營收,2026-06-18 收盤價/成交量,研究觀察,觀察順位較後,2026-05,2026-06-18,營收 2026-05｜行情 2026-06-18
22,2368,金像電,PCB;AI伺服器;高階板材,金像電主要做伺服器與網通用 PCB。,營收年增 87.3%，月增 20.4%，符合低基期轉強預篩,-,-,是,是,否,否,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,52.9,1355.0,2213,上市,2026-05,2026-05 月營收,2026-06-18 收盤價/成交量,研究觀察,觀察順位較後,2026-05,2026-06-18,營收 2026-05｜行情 2026-06-18
23,2337,旺宏,記憶體;低基期;AI邊緣需求,旺宏主要做 NOR Flash、NAND Flash 與唯讀記憶體。,低基期後營收轉強，若價格與報價循環續揚，具重新估值空間,-,-,是,是,否,否,否,B,記憶體價格循環反轉、庫存調整、匯率與終端需求不如預期,51.7,165.0,81177,上市,2026-05,2026-05 月營收,2026-06-18 收盤價/成交量,研究觀察,爆量股、觀察順位較後,2026-05,2026-06-18,營收 2026-05｜行情 2026-06-18
24,2820,華票,金融;壽險;銀行,金融保險相關公司，需再追蹤產品組合與主要客戶。,營收年增 89.4%，月增 11.4%，符合低基期轉強預篩,-,-,是,是,否,否,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,50.8,17.75,1710,上市,2026-05,2026-05 月營收,2026-06-18 收盤價/成交量,研究觀察,觀察順位較後,2026-05,2026-06-18,營收 2026-05｜行情 2026-06-18
25,2404,漢唐,AI伺服器供應鏈;設備;電子製造服務,電子製造服務、設備、材料或AI伺服器供應鏈公司。,營收年增 85.0%，月增 13.7%，符合低基期轉強預篩,-,-,是,是,否,否,否,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,50.4,1260.0,1908,上市,2026-05,2026-05 月營收,2026-06-18 收盤價/成交量,研究觀察,觀察順位較後,2026-05,2026-06-18,營收 2026-05｜行情 2026-06-18
26,2425,承啟,AI伺服器;PC/NB;邊緣運算,PC、筆電、伺服器、AI伺服器或週邊設備相關公司。,營收年增 95.2%，月增 4.9%，符合低基期轉強預篩,-,-,是,否,否,否,是,B,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,50.3,39.45,2584,上市,2026-05,2026-05 月營收,2026-06-18 收盤價/成交量,研究觀察,觀察順位較後,2026-05,2026-06-18,營收 2026-05｜行情 2026-06-18
27,2851,中再保,金融;壽險;銀行,金融保險相關公司，需再追蹤產品組合與主要客戶。,營收年增 1113.1%，月增 -16.2%，符合低基期轉強預篩,-,-,是,否,否,否,是,觀察,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,50.0,39.4,2976,上市,2026-05,2026-05 月營收,2026-06-18 收盤價/成交量,研究觀察,一般觀察,2026-05,2026-06-18,營收 2026-05｜行情 2026-06-18
28,9946,三發地產,營建;資產;都更,建設開發、營造工程、資產開發或不動產相關公司。,營收年增 312.2%，月增 -58.0%，符合低基期轉強預篩,-,-,是,否,否,否,是,觀察,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,50.0,20.4,2424,上市,2026-05,2026-05 月營收,2026-06-18 收盤價/成交量,研究觀察,一般觀察,2026-05,2026-06-18,營收 2026-05｜行情 2026-06-18
29,2305,全友,AI伺服器;PC/NB;邊緣運算,PC、筆電、伺服器、AI伺服器或週邊設備相關公司。,營收年增 97.8%，月增 -3.1%，符合低基期轉強預篩,-,-,是,否,否,否,是,觀察,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,49.5,33.65,8893,上市,2026-05,2026-05 月營收,2026-06-18 收盤價/成交量,研究觀察,一般觀察,2026-05,2026-06-18,營收 2026-05｜行情 2026-06-18
30,2547,日勝生,營建;資產;都更,建設開發、營造工程、資產開發或不動產相關公司。,營收年增 69.9%，月增 112.9%，符合低基期轉強預篩,-,-,否,是,否,否,否,觀察,需追蹤營收延續性、產業循環、籌碼與大盤系統性風險,47.5,11.15,3200,上市,2026-05,2026-05 月營收,2026-06-18 收盤價/成交量,研究觀察,一般觀察,2026-05,2026-06-18,營收 2026-05｜行情 2026-06-18
